Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SauceDemo_LockedOut,Chrome 123.0.0.0,,,02-04-2024 14:32:39,02-04-2024 14:33:18,39.232s,FAILED
,,,,,,,
Test Cases/Login,Chrome 123.0.0.0,,,02-04-2024 14:32:39,02-04-2024 14:32:45,5.479s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,02-04-2024 14:32:40,02-04-2024 14:32:41,1.861s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 123.0.0.0,,,02-04-2024 14:32:41,02-04-2024 14:32:42,0.449s,PASSED
"setText(findTestObject(""Object Repository/SauceDemo/Page_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 123.0.0.0,,,02-04-2024 14:32:42,02-04-2024 14:32:44,2.009s,PASSED
"setEncryptedText(findTestObject(""Object Repository/SauceDemo/Page_Swag Labs/input_Swag Labs_password""), password)",Chrome 123.0.0.0,,,02-04-2024 14:32:44,02-04-2024 14:32:44,0.459s,PASSED
"click(findTestObject(""Object Repository/SauceDemo/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 123.0.0.0,,,02-04-2024 14:32:44,02-04-2024 14:32:45,0.398s,PASSED
,,,,,,,
Test Cases/Add to Cart,Chrome 123.0.0.0,,,02-04-2024 14:33:08,02-04-2024 14:33:09,1.096s,FAILED
"click(findTestObject(""Object Repository/SauceDemo/Page_Swag Labs/button_Add to cart""))",Chrome 123.0.0.0,,,02-04-2024 14:33:08,02-04-2024 14:33:09,1.077s,FAILED
,,,,,,,
Test Cases/Checkout,Chrome 123.0.0.0,,,02-04-2024 14:33:13,02-04-2024 14:33:14,1.074s,FAILED
"setText(findTestObject(""Object Repository/SauceDemo/Page_Swag Labs/input_Checkout Your Information_firstName""), ""Hola"")",Chrome 123.0.0.0,,,02-04-2024 14:33:13,02-04-2024 14:33:14,1.060s,FAILED
,,,,,,,
Test Cases/Logout,Chrome 123.0.0.0,,,02-04-2024 14:33:17,02-04-2024 14:33:18,1.087s,FAILED
"click(findTestObject(""Object Repository/SauceDemo/Page_Swag Labs/button_Open Menu""))",Chrome 123.0.0.0,,,02-04-2024 14:33:17,02-04-2024 14:33:18,1.074s,FAILED
